id,stem,head,frame,t_s,auto_label,image,human_label
C3905_D_27,C3905,D,3501,116.82,green,C3905/C3905_D_27_f03501.jpg,
C3905_D_28,C3905,D,3675,122.62,green,C3905/C3905_D_28_f03675.jpg,
C3905_D_29,C3905,D,3780,126.13,green,C3905/C3905_D_29_f03780.jpg,
C3905_A_00,C3905,A,96,3.2,red,C3905/C3905_A_00_f00096.jpg,
C3905_A_01,C3905,A,297,9.91,red,C3905/C3905_A_01_f00297.jpg,
C3905_A_02,C3905,A,372,12.41,red,C3905/C3905_A_02_f00372.jpg,
C3905_A_03,C3905,A,450,15.02,red,C3905/C3905_A_03_f00450.jpg,
C3905_A_04,C3905,A,627,20.92,red,C3905/C3905_A_04_f00627.jpg,
C3905_A_05,C3905,A,669,22.32,red,C3905/C3905_A_05_f00669.jpg,
C3905_A_06,C3905,A,1074,35.84,green,C3905/C3905_A_06_f01074.jpg,
C3905_A_07,C3905,A,1131,37.74,green,C3905/C3905_A_07_f01131.jpg,
C3905_A_08,C3905,A,1335,44.54,green,C3905/C3905_A_08_f01335.jpg,
C3905_A_09,C3905,A,1368,45.65,green,C3905/C3905_A_09_f01368.jpg,
C3905_A_10,C3905,A,1392,46.45,green,C3905/C3905_A_10_f01392.jpg,
C3905_A_11,C3905,A,1752,58.46,green,C3905/C3905_A_11_f01752.jpg,
C3905_A_12,C3905,A,1968,65.67,green,C3905/C3905_A_12_f01968.jpg,
C3905_A_13,C3905,A,2304,76.88,red,C3905/C3905_A_13_f02304.jpg,
C3905_A_14,C3905,A,2397,79.98,red,C3905/C3905_A_14_f02397.jpg,
C3905_A_15,C3905,A,2418,80.68,red,C3905/C3905_A_15_f02418.jpg,
C3905_A_16,C3905,A,2424,80.88,red,C3905/C3905_A_16_f02424.jpg,
C3905_A_17,C3905,A,2472,82.48,red,C3905/C3905_A_17_f02472.jpg,
C3905_A_18,C3905,A,2658,88.69,red,C3905/C3905_A_18_f02658.jpg,
C3905_A_19,C3905,A,2724,90.89,red,C3905/C3905_A_19_f02724.jpg,
C3905_A_20,C3905,A,2769,92.39,red,C3905/C3905_A_20_f02769.jpg,
C3905_A_21,C3905,A,2874,95.9,red,C3905/C3905_A_21_f02874.jpg,
C3905_A_22,C3905,A,2979,99.4,red,C3905/C3905_A_22_f02979.jpg,
C3905_A_23,C3905,A,3129,104.4,red,C3905/C3905_A_23_f03129.jpg,
C3905_A_24,C3905,A,3183,106.21,red,C3905/C3905_A_24_f03183.jpg,
C3905_A_25,C3905,A,3249,108.41,red,C3905/C3905_A_25_f03249.jpg,
C3905_A_26,C3905,A,3417,114.01,red,C3905/C3905_A_26_f03417.jpg,
C3905_A_27,C3905,A,3501,116.82,green,C3905/C3905_A_27_f03501.jpg,
C3905_A_28,C3905,A,3675,122.62,green,C3905/C3905_A_28_f03675.jpg,
C3905_A_29,C3905,A,3780,126.13,green,C3905/C3905_A_29_f03780.jpg,
C3896_D_00,C3896,D,42,1.4,red,C3896/C3896_D_00_f00042.jpg,
C3896_D_01,C3896,D,798,26.63,red_amber,C3896/C3896_D_01_f00798.jpg,
C3896_D_02,C3896,D,1077,35.94,green,C3896/C3896_D_02_f01077.jpg,
C3896_D_03,C3896,D,2094,69.87,red,C3896/C3896_D_03_f02094.jpg,
C3896_D_04,C3896,D,2118,70.67,red,C3896/C3896_D_04_f02118.jpg,
C3896_D_05,C3896,D,2664,88.89,red,C3896/C3896_D_05_f02664.jpg,
C3896_D_06,C3896,D,3033,101.2,red_amber,C3896/C3896_D_06_f03033.jpg,
C3896_D_07,C3896,D,3195,106.61,green,C3896/C3896_D_07_f03195.jpg,
C3896_D_08,C3896,D,3246,108.31,green,C3896/C3896_D_08_f03246.jpg,
C3896_D_09,C3896,D,3498,116.72,green,C3896/C3896_D_09_f03498.jpg,
C3896_D_10,C3896,D,4155,138.64,amber,C3896/C3896_D_10_f04155.jpg,
C3896_D_11,C3896,D,4191,139.84,amber,C3896/C3896_D_11_f04191.jpg,
C3896_D_12,C3896,D,4263,142.24,red,C3896/C3896_D_12_f04263.jpg,
C3896_D_13,C3896,D,4362,145.55,red,C3896/C3896_D_13_f04362.jpg,
C3896_D_14,C3896,D,4395,146.65,red,C3896/C3896_D_14_f04395.jpg,
C3896_D_15,C3896,D,4698,156.76,red,C3896/C3896_D_15_f04698.jpg,
C3896_D_16,C3896,D,5358,178.78,green,C3896/C3896_D_16_f05358.jpg,
C3896_D_17,C3896,D,5721,190.89,occluded,C3896/C3896_D_17_f05721.jpg,
C3896_D_18,C3896,D,6042,201.6,green,C3896/C3896_D_18_f06042.jpg,
C3896_D_19,C3896,D,6150,205.2,green,C3896/C3896_D_19_f06150.jpg,
C3896_D_20,C3896,D,7083,236.34,red,C3896/C3896_D_20_f07083.jpg,
C3896_D_21,C3896,D,7146,238.44,red,C3896/C3896_D_21_f07146.jpg,
C3896_D_22,C3896,D,8067,269.17,green,C3896/C3896_D_22_f08067.jpg,
C3896_D_23,C3896,D,8079,269.57,green,C3896/C3896_D_23_f08079.jpg,
C3896_D_24,C3896,D,8853,295.4,red,C3896/C3896_D_24_f08853.jpg,
C3896_D_25,C3896,D,9153,305.41,red,C3896/C3896_D_25_f09153.jpg,
C3896_D_26,C3896,D,9465,315.82,red,C3896/C3896_D_26_f09465.jpg,
C3896_D_27,C3896,D,9609,320.62,red,C3896/C3896_D_27_f09609.jpg,
C3896_D_28,C3896,D,9690,323.32,red,C3896/C3896_D_28_f09690.jpg,
C3896_D_29,C3896,D,9759,325.63,red_amber,C3896/C3896_D_29_f09759.jpg,
C3896_A_00,C3896,A,42,1.4,red,C3896/C3896_A_00_f00042.jpg,
C3896_A_01,C3896,A,798,26.63,red,C3896/C3896_A_01_f00798.jpg,
C3896_A_02,C3896,A,1077,35.94,green,C3896/C3896_A_02_f01077.jpg,
C3896_A_03,C3896,A,2094,69.87,red,C3896/C3896_A_03_f02094.jpg,
C3896_A_04,C3896,A,2118,70.67,red,C3896/C3896_A_04_f02118.jpg,
C3896_A_05,C3896,A,2664,88.89,red,C3896/C3896_A_05_f02664.jpg,
C3896_A_06,C3896,A,3033,101.2,red,C3896/C3896_A_06_f03033.jpg,
C3896_A_07,C3896,A,3195,106.61,green,C3896/C3896_A_07_f03195.jpg,
C3896_A_08,C3896,A,3246,108.31,green,C3896/C3896_A_08_f03246.jpg,
C3896_A_09,C3896,A,3498,116.72,green,C3896/C3896_A_09_f03498.jpg,
C3896_A_10,C3896,A,4155,138.64,red,C3896/C3896_A_10_f04155.jpg,
C3896_A_11,C3896,A,4191,139.84,red,C3896/C3896_A_11_f04191.jpg,
C3896_A_12,C3896,A,4263,142.24,red,C3896/C3896_A_12_f04263.jpg,
C3896_A_13,C3896,A,4362,145.55,red,C3896/C3896_A_13_f04362.jpg,
C3896_A_14,C3896,A,4395,146.65,red,C3896/C3896_A_14_f04395.jpg,
C3896_A_15,C3896,A,4698,156.76,red,C3896/C3896_A_15_f04698.jpg,
C3896_A_16,C3896,A,5358,178.78,green,C3896/C3896_A_16_f05358.jpg,
C3896_A_17,C3896,A,5721,190.89,green,C3896/C3896_A_17_f05721.jpg,
C3896_A_18,C3896,A,6042,201.6,green,C3896/C3896_A_18_f06042.jpg,
C3896_A_19,C3896,A,6150,205.2,green,C3896/C3896_A_19_f06150.jpg,
C3896_A_20,C3896,A,7083,236.34,red,C3896/C3896_A_20_f07083.jpg,
C3896_A_21,C3896,A,7146,238.44,red,C3896/C3896_A_21_f07146.jpg,
C3896_A_22,C3896,A,8067,269.17,green,C3896/C3896_A_22_f08067.jpg,
C3896_A_23,C3896,A,8079,269.57,green,C3896/C3896_A_23_f08079.jpg,
C3896_A_24,C3896,A,8853,295.4,red,C3896/C3896_A_24_f08853.jpg,
C3896_A_25,C3896,A,9153,305.41,red,C3896/C3896_A_25_f09153.jpg,
C3896_A_26,C3896,A,9465,315.82,red,C3896/C3896_A_26_f09465.jpg,
C3896_A_27,C3896,A,9609,320.62,red,C3896/C3896_A_27_f09609.jpg,
C3896_A_28,C3896,A,9690,323.32,red,C3896/C3896_A_28_f09690.jpg,
C3896_A_29,C3896,A,9759,325.63,red,C3896/C3896_A_29_f09759.jpg,
C3897_D_00,C3897,D,366,12.21,red,C3897/C3897_D_00_f00366.jpg,
C3897_D_01,C3897,D,555,18.52,red_amber,C3897/C3897_D_01_f00555.jpg,
C3897_D_02,C3897,D,882,29.43,green,C3897/C3897_D_02_f00882.jpg,
C3897_D_03,C3897,D,1653,55.16,green,C3897/C3897_D_03_f01653.jpg,
C3897_D_04,C3897,D,1809,60.36,red,C3897/C3897_D_04_f01809.jpg,
C3897_D_05,C3897,D,2430,81.08,red,C3897/C3897_D_05_f02430.jpg,
C3897_D_06,C3897,D,2871,95.8,green,C3897/C3897_D_06_f02871.jpg,
C3897_D_07,C3897,D,2985,99.6,green,C3897/C3897_D_07_f02985.jpg,
C3897_D_08,C3897,D,3084,102.9,green,C3897/C3897_D_08_f03084.jpg,
C3897_D_09,C3897,D,3345,111.61,green,C3897/C3897_D_09_f03345.jpg,
C3897_D_10,C3897,D,3399,113.41,green,C3897/C3897_D_10_f03399.jpg,
C3897_D_11,C3897,D,3609,120.42,green,C3897/C3897_D_11_f03609.jpg,
C3897_D_12,C3897,D,3960,132.13,occluded,C3897/C3897_D_12_f03960.jpg,
C3897_D_13,C3897,D,4203,140.24,red,C3897/C3897_D_13_f04203.jpg,
C3897_D_14,C3897,D,4728,157.76,red,C3897/C3897_D_14_f04728.jpg,
C3897_D_15,C3897,D,4905,163.66,red,C3897/C3897_D_15_f04905.jpg,
C3897_D_16,C3897,D,4956,165.37,red,C3897/C3897_D_16_f04956.jpg,
C3897_D_17,C3897,D,5388,179.78,green,C3897/C3897_D_17_f05388.jpg,
C3897_D_18,C3897,D,5763,192.29,green,C3897/C3897_D_18_f05763.jpg,
C3897_D_19,C3897,D,6651,221.92,red,C3897/C3897_D_19_f06651.jpg,
C3897_D_20,C3897,D,6873,229.33,red,C3897/C3897_D_20_f06873.jpg,
C3897_D_21,C3897,D,6930,231.23,red,C3897/C3897_D_21_f06930.jpg,
C3897_D_22,C3897,D,6999,233.53,red,C3897/C3897_D_22_f06999.jpg,
C3897_D_23,C3897,D,7113,237.34,red,C3897/C3897_D_23_f07113.jpg,
C3897_D_24,C3897,D,7368,245.85,green,C3897/C3897_D_24_f07368.jpg,
C3897_D_25,C3897,D,7494,250.05,green,C3897/C3897_D_25_f07494.jpg,
C3897_D_26,C3897,D,8247,275.17,green,C3897/C3897_D_26_f08247.jpg,
C3897_D_27,C3897,D,8568,285.89,red,C3897/C3897_D_27_f08568.jpg,
C3897_D_28,C3897,D,9129,304.6,red,C3897/C3897_D_28_f09129.jpg,
C3897_D_29,C3897,D,9378,312.91,red,C3897/C3897_D_29_f09378.jpg,
C3897_A_00,C3897,A,366,12.21,red,C3897/C3897_A_00_f00366.jpg,
C3897_A_01,C3897,A,555,18.52,red,C3897/C3897_A_01_f00555.jpg,
C3897_A_02,C3897,A,882,29.43,green,C3897/C3897_A_02_f00882.jpg,
C3897_A_03,C3897,A,1653,55.16,red,C3897/C3897_A_03_f01653.jpg,
C3897_A_04,C3897,A,1809,60.36,red,C3897/C3897_A_04_f01809.jpg,
C3897_A_05,C3897,A,2430,81.08,red,C3897/C3897_A_05_f02430.jpg,
C3897_A_06,C3897,A,2871,95.8,green,C3897/C3897_A_06_f02871.jpg,
C3897_A_07,C3897,A,2985,99.6,green,C3897/C3897_A_07_f02985.jpg,
C3897_A_08,C3897,A,3084,102.9,green,C3897/C3897_A_08_f03084.jpg,
C3897_A_09,C3897,A,3345,111.61,green,C3897/C3897_A_09_f03345.jpg,
C3897_A_10,C3897,A,3399,113.41,green,C3897/C3897_A_10_f03399.jpg,
C3897_A_11,C3897,A,3609,120.42,green,C3897/C3897_A_11_f03609.jpg,
C3897_A_12,C3897,A,3960,132.13,red,C3897/C3897_A_12_f03960.jpg,
C3897_A_13,C3897,A,4203,140.24,red,C3897/C3897_A_13_f04203.jpg,
C3897_A_14,C3897,A,4728,157.76,red,C3897/C3897_A_14_f04728.jpg,
C3897_A_15,C3897,A,4905,163.66,red,C3897/C3897_A_15_f04905.jpg,
C3897_A_16,C3897,A,4956,165.37,red,C3897/C3897_A_16_f04956.jpg,
C3897_A_17,C3897,A,5388,179.78,green,C3897/C3897_A_17_f05388.jpg,
C3897_A_18,C3897,A,5763,192.29,green,C3897/C3897_A_18_f05763.jpg,
C3897_A_19,C3897,A,6651,221.92,red,C3897/C3897_A_19_f06651.jpg,
C3897_A_20,C3897,A,6873,229.33,red,C3897/C3897_A_20_f06873.jpg,
C3897_A_21,C3897,A,6930,231.23,red,C3897/C3897_A_21_f06930.jpg,
C3897_A_22,C3897,A,6999,233.53,red,C3897/C3897_A_22_f06999.jpg,
C3897_A_23,C3897,A,7113,237.34,red,C3897/C3897_A_23_f07113.jpg,
C3897_A_24,C3897,A,7368,245.85,green,C3897/C3897_A_24_f07368.jpg,
C3897_A_25,C3897,A,7494,250.05,green,C3897/C3897_A_25_f07494.jpg,
C3897_A_26,C3897,A,8247,275.17,green_flash,C3897/C3897_A_26_f08247.jpg,
C3897_A_27,C3897,A,8568,285.89,red,C3897/C3897_A_27_f08568.jpg,
C3897_A_28,C3897,A,9129,304.6,red,C3897/C3897_A_28_f09129.jpg,
C3897_A_29,C3897,A,9378,312.91,red,C3897/C3897_A_29_f09378.jpg,
C3902_D_00,C3902,D,657,21.92,red,C3902/C3902_D_00_f00657.jpg,
C3902_D_01,C3902,D,732,24.42,red,C3902/C3902_D_01_f00732.jpg,
C3902_D_02,C3902,D,1269,42.34,green,C3902/C3902_D_02_f01269.jpg,
C3902_D_03,C3902,D,1281,42.74,green,C3902/C3902_D_03_f01281.jpg,
C3902_D_04,C3902,D,1629,54.35,green,C3902/C3902_D_04_f01629.jpg,
C3902_D_05,C3902,D,1779,59.36,green,C3902/C3902_D_05_f01779.jpg,
C3902_D_06,C3902,D,2214,73.87,green,C3902/C3902_D_06_f02214.jpg,
C3902_D_07,C3902,D,2316,77.28,amber,C3902/C3902_D_07_f02316.jpg,
C3902_D_08,C3902,D,2412,80.48,red,C3902/C3902_D_08_f02412.jpg,
C3902_D_09,C3902,D,2865,95.6,red,C3902/C3902_D_09_f02865.jpg,
C3902_D_10,C3902,D,4509,150.45,green,C3902/C3902_D_10_f04509.jpg,
C3902_D_11,C3902,D,5178,172.77,red,C3902/C3902_D_11_f05178.jpg,
C3902_D_12,C3902,D,5322,177.58,red,C3902/C3902_D_12_f05322.jpg,
C3902_D_13,C3902,D,5403,180.28,red,C3902/C3902_D_13_f05403.jpg,
C3902_D_14,C3902,D,5520,184.18,red,C3902/C3902_D_14_f05520.jpg,
C3902_D_15,C3902,D,5694,189.99,red,C3902/C3902_D_15_f05694.jpg,
C3902_D_16,C3902,D,5859,195.5,red_amber,C3902/C3902_D_16_f05859.jpg,
C3902_D_17,C3902,D,6054,202.0,green,C3902/C3902_D_17_f06054.jpg,
C3902_D_18,C3902,D,6252,208.61,green,C3902/C3902_D_18_f06252.jpg,
C3902_D_19,C3902,D,6972,232.63,occluded,C3902/C3902_D_19_f06972.jpg,
C3902_D_20,C3902,D,7293,243.34,red,C3902/C3902_D_20_f07293.jpg,
C3902_D_21,C3902,D,7458,248.85,red,C3902/C3902_D_21_f07458.jpg,
C3902_D_22,C3902,D,7467,249.15,red,C3902/C3902_D_22_f07467.jpg,
C3902_D_23,C3902,D,7506,250.45,red,C3902/C3902_D_23_f07506.jpg,
C3902_D_24,C3902,D,7743,258.36,red,C3902/C3902_D_24_f07743.jpg,
C3902_D_25,C3902,D,8409,280.58,green,C3902/C3902_D_25_f08409.jpg,
C3902_D_26,C3902,D,8676,289.49,occluded,C3902/C3902_D_26_f08676.jpg,
C3902_D_27,C3902,D,8706,290.49,occluded,C3902/C3902_D_27_f08706.jpg,
C3902_D_28,C3902,D,8913,297.4,green,C3902/C3902_D_28_f08913.jpg,
C3902_D_29,C3902,D,9396,313.51,green_flash,C3902/C3902_D_29_f09396.jpg,
C3902_A_00,C3902,A,657,21.92,red,C3902/C3902_A_00_f00657.jpg,
C3902_A_01,C3902,A,732,24.42,red,C3902/C3902_A_01_f00732.jpg,
C3902_A_02,C3902,A,1269,42.34,green,C3902/C3902_A_02_f01269.jpg,
C3902_A_03,C3902,A,1281,42.74,green,C3902/C3902_A_03_f01281.jpg,
C3902_A_04,C3902,A,1629,54.35,green,C3902/C3902_A_04_f01629.jpg,
C3902_A_05,C3902,A,1779,59.36,green,C3902/C3902_A_05_f01779.jpg,
C3902_A_06,C3902,A,2214,73.87,red,C3902/C3902_A_06_f02214.jpg,
C3902_A_07,C3902,A,2316,77.28,red,C3902/C3902_A_07_f02316.jpg,
C3902_A_08,C3902,A,2412,80.48,red,C3902/C3902_A_08_f02412.jpg,
C3902_A_09,C3902,A,2865,95.6,red,C3902/C3902_A_09_f02865.jpg,
C3902_A_10,C3902,A,4509,150.45,green_flash,C3902/C3902_A_10_f04509.jpg,
C3902_A_11,C3902,A,5178,172.77,red,C3902/C3902_A_11_f05178.jpg,
C3902_A_12,C3902,A,5322,177.58,red,C3902/C3902_A_12_f05322.jpg,
C3902_A_13,C3902,A,5403,180.28,red,C3902/C3902_A_13_f05403.jpg,
C3902_A_14,C3902,A,5520,184.18,red,C3902/C3902_A_14_f05520.jpg,
C3902_A_15,C3902,A,5694,189.99,red,C3902/C3902_A_15_f05694.jpg,
C3902_A_16,C3902,A,5859,195.5,red,C3902/C3902_A_16_f05859.jpg,
C3902_A_17,C3902,A,6054,202.0,green,C3902/C3902_A_17_f06054.jpg,
C3902_A_18,C3902,A,6252,208.61,green,C3902/C3902_A_18_f06252.jpg,
C3902_A_19,C3902,A,6972,232.63,red,C3902/C3902_A_19_f06972.jpg,
C3902_A_20,C3902,A,7293,243.34,red,C3902/C3902_A_20_f07293.jpg,
C3902_A_21,C3902,A,7458,248.85,red,C3902/C3902_A_21_f07458.jpg,
C3902_A_22,C3902,A,7467,249.15,red,C3902/C3902_A_22_f07467.jpg,
C3902_A_23,C3902,A,7506,250.45,red,C3902/C3902_A_23_f07506.jpg,
C3902_A_24,C3902,A,7743,258.36,red,C3902/C3902_A_24_f07743.jpg,
C3902_A_25,C3902,A,8409,280.58,green,C3902/C3902_A_25_f08409.jpg,
C3902_A_26,C3902,A,8676,289.49,green,C3902/C3902_A_26_f08676.jpg,
C3902_A_27,C3902,A,8706,290.49,green,C3902/C3902_A_27_f08706.jpg,
C3902_A_28,C3902,A,8913,297.4,green,C3902/C3902_A_28_f08913.jpg,
C3902_A_29,C3902,A,9396,313.51,red,C3902/C3902_A_29_f09396.jpg,
