frame,t,state,red_score,green_score,before_v2_rule
519,17.317,red,48.5,-4.2,none
522,17.417,red,48.4,-4.6,none
525,17.518,red,48.3,-5.2,none
528,17.618,red,48.1,-4.6,none
531,17.718,red,48.1,-4.9,none
534,17.818,red,47.3,-4.7,none
537,17.918,red,47.4,-4.4,red
540,18.018,red,49.2,-4.7,red
543,18.118,red,48.0,-4.1,none
546,18.218,red,48.2,-4.2,red
549,18.318,red,49.0,-4.1,red
552,18.418,red,49.0,-4.4,red
555,18.518,red,48.2,-4.5,red
558,18.619,red,46.9,-5.0,red
561,18.719,red,48.4,-5.3,red
564,18.819,red,48.3,-5.0,red
567,18.919,red,47.1,-4.5,none
570,19.019,red,48.3,-4.6,red
573,19.119,red,48.1,-5.5,red
576,19.219,red,47.3,-4.9,red
579,19.319,red,47.9,-3.7,red
582,19.419,red,46.8,-5.2,none
585,19.52,red,47.7,-4.7,red
588,19.62,red,47.4,-4.8,red
591,19.72,red,47.4,-4.7,red
594,19.82,red,47.3,-4.7,red
597,19.92,red,47.7,-4.2,red
600,20.02,red,46.2,-4.6,red
603,20.12,red,46.2,-4.2,none
606,20.22,red,47.4,-4.5,red
609,20.32,red,45.2,-5.1,none
612,20.42,red,47.0,-4.4,red
615,20.521,red,46.3,-4.6,none
618,20.621,red,45.7,-5.1,red
621,20.721,red,46.3,-4.5,red
624,20.821,red,46.8,-4.8,red
627,20.921,red,44.9,-4.2,red
630,21.021,red,46.3,-3.9,red
633,21.121,red,46.3,-4.6,red
636,21.221,red,46.3,-4.1,red
639,21.321,red,46.8,-3.4,red
642,21.421,red,45.5,-4.3,none
645,21.522,red,46.4,-5.5,red
648,21.622,red,45.5,-4.9,red
651,21.722,red,46.2,-4.4,red
654,21.822,red,46.9,-4.5,red
657,21.922,red,46.7,-4.1,red
660,22.022,red,45.1,-4.8,red
663,22.122,red,46.3,-5.0,red
666,22.222,red,46.1,-5.0,red
669,22.322,red,46.8,-4.7,red
672,22.422,red,46.0,-4.7,red
675,22.522,red,45.5,-5.4,red
678,22.623,red,46.8,-4.8,red
681,22.723,red,46.2,-4.7,red
684,22.823,red,46.2,-4.2,red
687,22.923,red,43.9,-2.9,none
690,23.023,red,47.9,-4.4,red
693,23.123,red,47.6,-4.3,none
696,23.223,red,48.1,-4.4,red
699,23.323,red,47.0,-4.9,red
702,23.423,red,47.2,-4.5,red
705,23.524,red,48.0,-4.4,red
708,23.624,red,46.3,-4.9,red
711,23.724,red,47.5,-5.1,red
714,23.824,red,48.3,-4.5,red
717,23.924,red,47.0,-4.3,red
720,24.024,red,46.7,-4.6,red
723,24.124,red,47.4,-4.2,red
726,24.224,red,48.1,-5.5,red
729,24.324,red,47.1,-4.1,red
732,24.424,red,47.3,-4.9,red
735,24.524,red,47.2,-3.8,red
738,24.625,red,47.6,-3.9,red
741,24.725,red,47.3,-4.1,red
744,24.825,red,48.5,-4.2,red
747,24.925,red,47.2,-5.0,red
750,25.025,red,46.6,-4.8,red
753,25.125,red,47.7,-4.5,red
756,25.225,red,46.9,-4.4,red
759,25.325,red,47.5,-4.4,red
762,25.425,red,48.3,-4.2,red
765,25.526,red,47.5,-3.9,red
768,25.626,red,49.1,-3.7,red
771,25.726,red,47.5,-3.6,red
774,25.826,red,47.9,-3.8,red
777,25.926,red,48.5,-3.9,red
780,26.026,red,48.6,-4.0,red
783,26.126,red,48.3,-4.5,red
786,26.226,red,47.6,-4.3,red
789,26.326,red,48.1,-4.8,red
792,26.426,red,48.5,-4.6,red
795,26.527,red,48.7,-4.8,red
798,26.627,red,47.7,-4.0,red
801,26.727,red,47.1,-3.7,red
804,26.827,red,46.9,-3.9,red
807,26.927,red,47.9,-4.2,red
810,27.027,red,46.4,-3.5,none
813,27.127,green,2.1,38.2,none
816,27.227,green,2.1,38.7,none
819,27.327,green,2.1,37.9,none
822,27.427,green,2.0,37.2,none
825,27.528,green,2.1,37.9,none
828,27.628,green,2.3,36.7,none
831,27.728,green,2.1,37.4,none
834,27.828,green,1.5,36.9,none
837,27.928,green,2.2,36.2,none
840,28.028,green,1.9,36.0,none
843,28.128,green,1.8,36.1,none
846,28.228,green,1.7,35.9,none
849,28.328,green,1.3,36.1,none
852,28.428,green,1.7,36.7,none
855,28.528,green,1.4,36.2,none
858,28.629,green,1.6,36.0,none
861,28.729,green,2.8,36.3,none
864,28.829,green,1.9,35.1,none
867,28.929,green,1.8,35.8,none
870,29.029,green,1.6,35.2,none
873,29.129,green,1.5,34.7,none
876,29.229,green,2.0,36.1,none
879,29.329,green,1.8,35.3,none
882,29.429,green,1.7,35.4,none
885,29.53,green,1.9,35.5,none
888,29.63,green,1.7,35.5,none
891,29.73,green,1.9,36.7,none
894,29.83,green,1.9,36.1,none
897,29.93,green,1.7,34.6,none
900,30.03,green,2.3,35.4,none
903,30.13,green,2.3,34.7,none
906,30.23,green,2.1,35.7,none
909,30.33,green,2.0,34.6,none
912,30.43,green,1.3,35.5,none
915,30.53,green,1.7,35.8,none
918,30.631,green,1.6,35.1,none
921,30.731,green,1.3,36.0,none
924,30.831,green,1.3,35.2,none
927,30.931,green,1.1,36.0,none
930,31.031,green,1.5,36.5,none
933,31.131,green,2.0,35.3,none
936,31.231,green,1.9,36.0,none
939,31.331,green,1.1,35.7,none
942,31.431,green,1.3,36.4,none
945,31.532,green,1.5,36.4,none
948,31.632,green,1.2,36.8,none
951,31.732,green,1.8,37.3,none
954,31.832,green,2.2,35.6,none
957,31.932,green,1.5,38.2,none
960,32.032,green,1.8,37.9,none
963,32.132,green,2.1,37.2,none
966,32.232,green,2.1,38.0,none
969,32.332,green,1.7,38.1,none
972,32.432,green,1.6,38.1,none
975,32.532,green,1.8,38.2,none
978,32.633,green,2.2,38.0,none
981,32.733,green,2.2,37.9,none
984,32.833,green,1.6,38.9,none
987,32.933,green,1.8,40.5,none
990,33.033,green,1.9,38.3,none
993,33.133,green,1.7,38.6,none
996,33.233,green,2.0,39.2,none
999,33.333,green,1.8,40.2,none
1002,33.433,green,1.8,40.2,none
1005,33.534,green,2.1,38.5,none
1008,33.634,green,1.6,39.8,none
1011,33.734,green,2.3,39.7,none
1014,33.834,green,2.5,39.2,none
1017,33.934,green,2.1,39.6,none
1020,34.034,green,1.6,40.0,none
1023,34.134,green,1.6,39.8,none
1026,34.234,green,1.8,40.3,none
1029,34.334,green,2.2,40.5,none
1032,34.434,green,2.1,39.9,none
1035,34.534,green,2.2,39.8,none
1038,34.635,green,1.5,40.0,none
1041,34.735,green,1.4,40.0,none
1044,34.835,green,2.9,40.4,none
1047,34.935,green,2.1,40.2,none
1050,35.035,green,1.8,40.1,none
1053,35.135,green,1.8,39.0,none
1056,35.235,green,1.7,39.8,none
1059,35.335,green,2.4,39.9,none
1062,35.435,green,1.5,40.0,none
1065,35.536,green,2.1,39.3,none
1068,35.636,green,1.9,39.0,none
1071,35.736,green,1.6,39.2,none
1074,35.836,green,1.9,39.1,none
1077,35.936,green,2.0,39.9,none
1080,36.036,green,3.1,39.0,none
1083,36.136,green,2.4,39.1,none
1086,36.236,green,3.0,39.4,none
1089,36.336,green,2.5,39.3,none
1092,36.436,green,2.6,39.1,none
1095,36.537,green,2.2,39.6,none
1098,36.637,green,1.7,37.3,none
1101,36.737,green,1.5,39.2,none
1104,36.837,green,1.9,38.4,none
1107,36.937,green,1.9,38.5,none
1110,37.037,green,1.8,37.8,none
1113,37.137,green,1.9,36.9,none
1116,37.237,green,2.5,37.3,none
1119,37.337,green,2.8,36.9,none
1122,37.437,green,2.2,37.8,none
1125,37.538,green,1.9,37.2,none
1128,37.638,green,2.4,36.8,none
1131,37.738,green,2.7,37.3,none
1134,37.838,green,2.9,35.2,none
1137,37.938,green,2.1,34.9,none
1140,38.038,green,1.2,36.5,none
1143,38.138,green,2.1,35.2,none
1146,38.238,green,2.5,36.0,none
1149,38.338,green,1.3,36.8,none
1152,38.438,green,1.9,34.9,none
1155,38.538,green,2.0,35.4,none
1158,38.639,green,2.1,36.8,none
1161,38.739,green,2.1,35.8,none
1164,38.839,green,2.1,35.6,none
1167,38.939,green,1.8,35.4,none
1170,39.039,green,2.4,36.1,none
1173,39.139,green,2.3,35.5,none
1176,39.239,green,2.3,36.1,none
1179,39.339,green,2.6,35.7,none
1182,39.439,green,2.2,35.2,none
1185,39.54,green,2.5,35.2,none
1188,39.64,green,2.3,34.8,none
1191,39.74,green,2.6,35.2,none
1194,39.84,green,2.5,35.4,none
1197,39.94,green,2.7,35.2,none
1200,40.04,green,2.0,35.1,none
1203,40.14,green,2.0,35.4,none
1206,40.24,green,3.1,34.6,none
1209,40.34,green,2.5,35.8,none
1212,40.44,green,2.5,36.2,none
1215,40.54,green,1.8,36.0,none
1218,40.641,green,2.6,35.5,none
1221,40.741,green,2.0,36.5,none
1224,40.841,green,2.2,36.2,none
1227,40.941,green,2.1,35.6,none
1230,41.041,green,2.0,36.0,none
1233,41.141,green,2.1,36.0,none
1236,41.241,green,1.8,36.7,none
1239,41.341,green,2.6,36.6,none
1242,41.441,green,2.7,36.4,none
1245,41.542,green,1.8,37.1,none
1248,41.642,green,1.6,37.3,none
1251,41.742,green,2.3,37.9,none
1254,41.842,green,1.2,37.8,none
1257,41.942,green,2.4,36.9,none
1260,42.042,green,2.0,37.8,none
1263,42.142,green,2.1,36.3,none
1266,42.242,green,2.4,36.2,none
1269,42.342,green,2.1,37.9,none
1272,42.442,green,2.4,38.7,none
1275,42.543,green,2.9,37.4,none
1278,42.643,green,2.2,38.2,none
1281,42.743,green,2.3,38.7,none
1284,42.843,green,2.3,38.8,none
1287,42.943,green,1.8,39.4,none
1290,43.043,green,1.8,38.4,none
1293,43.143,green,1.6,39.6,none
1296,43.243,green,1.4,39.7,none
1299,43.343,green,3.1,37.9,none
1302,43.443,green,1.9,39.2,none
1305,43.544,green,2.2,38.4,none
1308,43.644,green,2.4,39.0,none
1311,43.744,green,2.4,40.6,none
1314,43.844,green,1.7,39.4,none
1317,43.944,green,2.2,39.8,none
1320,44.044,green,2.6,40.1,none
1323,44.144,green,2.6,38.6,none
1326,44.244,green,2.4,39.8,none
1329,44.344,green,2.6,40.9,none
1332,44.444,green,2.7,40.3,none
1335,44.544,green,2.6,39.8,none
1338,44.645,green,1.9,39.4,none
1341,44.745,green,2.0,40.3,none
1344,44.845,green,2.1,38.8,none
1347,44.945,green,2.1,40.7,none
1350,45.045,green,2.4,40.5,none
1353,45.145,green,2.5,41.1,none
1356,45.245,green,2.3,40.7,none
1359,45.345,green,2.7,40.9,none
1362,45.445,green,3.4,40.5,none
1365,45.546,green,2.2,40.2,none
1368,45.646,green,1.9,40.1,none
1371,45.746,green,1.9,41.1,none
1374,45.846,green,2.4,40.8,none
1377,45.946,green,2.3,40.0,none
1380,46.046,green,2.8,40.2,none
1383,46.146,green,3.4,40.1,none
1386,46.246,green,2.6,40.3,none
1389,46.346,green,2.4,39.9,none
1392,46.446,green,1.9,40.4,none
1395,46.546,green,1.7,39.2,none
1398,46.647,green,2.0,40.2,none
1401,46.747,green,2.3,39.1,none
1404,46.847,green,2.7,38.8,none
1407,46.947,green,2.2,38.7,none
1410,47.047,green,1.9,38.2,none
1413,47.147,green,1.8,39.8,none
1416,47.247,green,2.1,40.0,none
1419,47.347,green,2.3,39.4,none
1422,47.447,green,3.0,38.1,none
1425,47.548,green,1.9,38.4,none
1428,47.648,green,2.3,37.9,none
1431,47.748,green,2.6,37.4,none
1434,47.848,green,2.4,38.3,none
1437,47.948,green,2.4,37.6,none
1440,48.048,green,2.2,37.2,none
1443,48.148,green,2.1,37.2,none
1446,48.248,green,2.3,36.8,none
1449,48.348,green,2.2,37.5,none
1452,48.448,green,1.7,36.0,none
1455,48.549,green,1.5,35.9,none
1458,48.649,green,2.0,37.8,none
1461,48.749,green,1.8,36.9,none
1464,48.849,green,1.9,37.0,none
1467,48.949,green,2.4,35.9,none
1470,49.049,green,2.3,36.0,none
1473,49.149,green,2.2,37.0,none
1476,49.249,green,2.9,36.4,none
1479,49.349,green,2.1,36.4,none
1482,49.449,green,2.1,36.1,none
1485,49.55,green,2.0,36.7,none
1488,49.65,green,2.2,36.0,none
1491,49.75,green,2.1,35.4,none
1494,49.85,green,2.3,35.7,none
1497,49.95,green,3.3,36.9,none
1500,50.05,green,1.3,35.9,none
1503,50.15,green,1.7,36.0,none
1506,50.25,green,1.8,36.1,none
1509,50.35,green,1.6,35.7,none
1512,50.45,green,2.2,34.9,none
1515,50.55,green,2.4,36.2,none
1518,50.651,green,1.9,35.6,none
1521,50.751,green,2.9,35.5,none
1524,50.851,green,2.1,35.8,none
1527,50.951,green,2.4,36.2,none
1530,51.051,green,2.1,35.4,none
1533,51.151,green,2.8,36.2,none
1536,51.251,green,2.3,36.8,none
1539,51.351,green,2.4,35.0,none
1542,51.451,green,1.6,35.6,none
1545,51.552,green,1.8,36.2,none
1548,51.652,green,3.4,36.7,none
1551,51.752,green,2.5,35.5,none
1554,51.852,green,2.3,36.4,none
1557,51.952,green,2.7,36.5,none
1560,52.052,green,2.4,35.3,none
1563,52.152,green,2.5,36.6,none
1566,52.252,green,2.0,35.6,none
1569,52.352,green,2.6,35.7,none
1572,52.452,green,2.3,35.9,none
1575,52.552,green,2.1,36.7,none
1578,52.653,green,1.7,37.0,none
1581,52.753,green,1.7,36.1,none
1584,52.853,green,3.0,36.3,none
1587,52.953,green,1.7,35.9,none
1590,53.053,green,1.7,37.6,none
1593,53.153,green,1.6,36.6,none
1596,53.253,green,2.2,37.1,none
1599,53.353,green,2.8,37.5,none
1602,53.453,green,1.8,38.0,none
1605,53.554,green,1.9,37.7,none
1608,53.654,green,1.5,37.8,none
1611,53.754,green,1.8,36.8,none
1614,53.854,green,2.2,39.1,none
1617,53.954,green,2.9,37.3,none
1620,54.054,green,1.9,37.4,none
1623,54.154,green,2.7,37.8,none
1626,54.254,green,2.4,39.8,none
1629,54.354,green,1.3,39.3,none
1632,54.454,green,2.4,39.8,none
1635,54.555,green,2.1,39.1,none
1638,54.655,green,2.4,38.8,none
1641,54.755,green,2.0,37.8,none
1644,54.855,green,3.1,39.0,none
1647,54.955,green,1.7,39.5,none
1650,55.055,green,1.7,38.7,none
1653,55.155,green,2.8,39.0,none
1656,55.255,green,2.6,39.4,none
1659,55.355,green,2.5,39.6,none
1662,55.455,green,2.4,39.5,none
1665,55.556,green,3.2,39.4,none
1668,55.656,green,2.7,39.0,none
1671,55.756,green,2.4,39.6,none
1674,55.856,green,1.5,40.7,none
1677,55.956,green,1.6,39.9,none
1680,56.056,green,1.8,40.4,none
1683,56.156,green,1.9,40.2,none
1686,56.256,green,2.0,40.2,none
1689,56.356,green,2.9,39.7,none
1692,56.456,green,2.4,38.9,none
1695,56.556,green,3.1,40.9,none
1698,56.657,green,2.4,40.7,none
1701,56.757,green,2.9,40.3,none
1704,56.857,green,2.4,39.6,none
1707,56.957,green,2.1,40.3,none
1710,57.057,green_flash,2.4,-2.8,none
1713,57.157,green_flash,1.6,-3.9,none
1716,57.257,green_flash,2.0,-4.9,none
1719,57.357,green_flash,2.0,-4.5,none
1722,57.457,green_flash,2.3,-4.4,none
1725,57.558,green,2.5,28.8,none
1728,57.658,green,2.3,40.4,none
1731,57.758,green,2.5,39.1,none
1734,57.858,green,2.5,40.1,none
1737,57.958,green,1.9,39.9,none
1740,58.058,green_flash,1.4,-1.9,none
1743,58.158,green_flash,2.0,-3.9,none
1746,58.258,green_flash,1.8,-3.7,none
1749,58.358,green_flash,2.1,-4.8,none
1752,58.458,green_flash,2.3,-5.0,none
1755,58.558,green,2.5,28.9,none
1758,58.659,green,2.1,38.3,none
1761,58.759,green,1.8,38.9,none
1764,58.859,green,2.4,39.3,none
1767,58.959,green,2.4,38.8,none
1770,59.059,green_flash,2.0,-2.8,none
1773,59.159,green_flash,2.6,-4.2,none
1776,59.259,green_flash,1.9,-5.0,none
1779,59.359,green_flash,1.5,-5.2,none
1782,59.459,green_flash,1.8,-4.5,none
1785,59.56,green,2.4,29.4,none
1788,59.66,green,2.9,37.6,none
1791,59.76,green,1.9,39.7,none
1794,59.86,green,1.8,37.4,none
1797,59.96,green,2.3,38.1,none
1800,60.06,red,38.3,-3.6,none
1803,60.16,red,52.1,-5.0,red
1806,60.26,red,51.4,-5.1,red
1809,60.36,red,51.0,-5.1,red
1812,60.46,red,51.9,-5.0,red
1815,60.56,red,51.0,-5.1,red
1818,60.661,red,50.4,-4.8,red
1821,60.761,red,50.3,-4.4,red
1824,60.861,red,51.4,-4.7,red
1827,60.961,red,50.3,-4.6,red
1830,61.061,red,50.7,-4.4,red
1833,61.161,red,50.6,-4.1,red
1836,61.261,red,50.3,-4.3,red
1839,61.361,red,49.9,-4.4,red
1842,61.461,red,49.7,-4.9,red
1845,61.562,red,51.3,-4.8,red
1848,61.662,red,49.5,-4.7,red
1851,61.762,red,50.2,-4.2,red
1854,61.862,red,50.0,-5.1,red
1857,61.962,red,50.2,-4.8,red
1860,62.062,red,49.4,-3.7,red
1863,62.162,red,49.5,-4.8,red
1866,62.262,red,49.7,-4.9,red
1869,62.362,red,49.1,-4.6,red
1872,62.462,red,48.7,-4.5,red
1875,62.562,red,48.4,-4.9,red
1878,62.663,red,49.2,-4.6,red
1881,62.763,red,48.7,-5.0,red
1884,62.863,red,48.3,-5.2,red
1887,62.963,red,49.8,-4.5,red
1890,63.063,red,49.6,-4.3,red
1893,63.163,red,48.9,-4.0,red
1896,63.263,red,48.7,-4.3,red
1899,63.363,red,48.7,-3.9,red
1902,63.463,red,49.6,-4.4,red
1905,63.564,red,48.3,-4.9,red
1908,63.664,red,48.7,-4.9,red
1911,63.764,red,48.0,-5.1,red
1914,63.864,red,48.4,-4.5,red
1917,63.964,red,47.4,-4.4,red
1920,64.064,red,48.2,-4.4,red
1923,64.164,red,49.1,-4.3,red
1926,64.264,red,48.7,-4.9,red
1929,64.364,red,47.6,-4.7,red
1932,64.464,red,49.1,-5.4,red
1935,64.564,red,49.2,-4.5,red
1938,64.665,red,48.8,-3.9,red
1941,64.765,red,48.0,-4.4,red
1944,64.865,red,48.5,-4.1,red
1947,64.965,red,48.7,-5.3,red
1950,65.065,red,48.6,-4.5,red
1953,65.165,red,49.2,-4.6,red
1956,65.265,red,48.4,-4.9,red
1959,65.365,red,47.3,-3.7,red
1962,65.465,red,48.7,-4.9,red
1965,65.566,red,48.7,-5.3,red
1968,65.666,red,49.3,-5.0,red
1971,65.766,red,49.2,-4.8,red
1974,65.866,red,46.6,-4.8,red
1977,65.966,red,49.1,-4.9,red
1980,66.066,red,48.6,-4.5,red
1983,66.166,red,48.5,-4.5,red
1986,66.266,red,48.2,-4.5,red
1989,66.366,red,48.6,-3.9,red
1992,66.466,red,47.6,-4.2,red
1995,66.566,red,48.8,-4.3,red
1998,66.667,red,47.8,-5.2,red
2001,66.767,red,49.0,-5.2,red
2004,66.867,red,49.8,-4.7,red
2007,66.967,red,50.0,-5.1,red
2010,67.067,red,49.9,-4.6,red
2013,67.167,red,47.3,-4.7,red
2016,67.267,red,49.7,-5.0,red
2019,67.367,red,49.7,-5.5,red
2022,67.467,red,48.6,-4.5,red
2025,67.568,red,49.4,-4.7,red
2028,67.668,red,47.9,-4.6,red
2031,67.768,red,47.5,-4.9,red
2034,67.868,red,48.4,-4.8,red
2037,67.968,red,48.9,-3.9,red
2040,68.068,red,48.2,-4.4,red
2043,68.168,red,48.4,-5.1,red
2046,68.268,red,48.8,-4.7,red
2049,68.368,red,49.6,-4.1,red
2052,68.468,red,49.3,-4.9,red
2055,68.568,red,49.5,-4.5,red
2058,68.669,red,49.6,-4.4,red
2061,68.769,red,49.7,-4.4,red
2064,68.869,red,49.4,-4.3,red
2067,68.969,red,49.7,-4.4,red
2070,69.069,red,48.6,-4.6,red
2073,69.169,red,47.7,-4.2,red
2076,69.269,red,50.1,-4.7,red
2079,69.369,red,50.1,-4.6,red
2082,69.469,red,47.9,-3.9,red
2085,69.57,red,49.5,-4.7,red
2088,69.67,red,49.5,-3.7,red
2091,69.77,red,49.5,-4.8,red
2094,69.87,red,47.8,-4.8,red
2097,69.97,red,49.9,-4.7,red
2100,70.07,red,50.1,-4.1,red
2103,70.17,red,50.3,-4.9,red
2106,70.27,red,50.5,-4.8,red
2109,70.37,red,49.6,-4.8,red
2112,70.47,red,49.2,-5.1,red
2115,70.57,red,48.5,-4.3,red
2118,70.671,red,50.4,-5.5,red
2121,70.771,red,48.2,-4.2,red
2124,70.871,red,48.9,-4.9,red
2127,70.971,red,48.6,-4.2,red
2130,71.071,red,50.0,-4.9,red
2133,71.171,red,51.1,-4.3,red
2136,71.271,red,49.9,-4.3,red
2139,71.371,red,48.7,-4.9,red
2142,71.471,red,47.3,-4.7,red
2145,71.572,red,49.6,-4.5,red
2148,71.672,red,49.7,-4.0,red
2151,71.772,red,49.6,-4.5,red
2154,71.872,red,49.6,-4.9,red
2157,71.972,red,48.9,-4.1,red
2160,72.072,red,49.4,-4.4,red
2163,72.172,red,49.1,-4.5,red
2166,72.272,red,49.2,-5.0,red
2169,72.372,red,48.7,-4.5,red
2172,72.472,red,48.8,-4.4,red
2175,72.572,red,47.6,-4.3,red
2178,72.673,red,48.0,-4.8,red
